Country,Category,Location,Impact,Units,Reference,Value
Angola,NH3,Transport,Primary Health,/metric ton,Air Pollution_NH3_Transport_Primary Health,"9,641.53"
Angola,NH3,N/A for NH3,Visibility,/metric ton,Air Pollution_NH3_N/A for NH3_Visibility,2.02
Angola,PM10,Urban,Primary Health,/metric ton,Air Pollution_PM10_Urban_Primary Health,257.31
Angola,PM10,Peri-Urban,Primary Health,/metric ton,Air Pollution_PM10_Peri-Urban_Primary Health,239.13
Angola,PM10,Rural,Primary Health,/metric ton,Air Pollution_PM10_Rural_Primary Health,121.84
Angola,PM10,Transport,Primary Health,/metric ton,Air Pollution_PM10_Transport_Primary Health,201.74
Angola,PM10,N/A for PM10,Visibility,/metric ton,Air Pollution_PM10_N/A for PM10_Visibility,7.37
Angola,NOx,Urban,Primary Health,/metric ton,Air Pollution_NOx_Urban_Primary Health,"4,162.40"
Angola,NOx,Peri-Urban,Primary Health,/metric ton,Air Pollution_NOx_Peri-Urban_Primary Health,"4,034.53"
Angola,NOx,Rural,Primary Health,/metric ton,Air Pollution_NOx_Rural_Primary Health,"2,265.38"
Angola,NOx,Transport,Primary Health,/metric ton,Air Pollution_NOx_Transport_Primary Health,"3,190.43"
Angola,NOx,N/A for NOx,Agriculture,/metric ton,Air Pollution_NOx_N/A for NOx_Agriculture,3.98
Angola,NOx,N/A for NOx,Visibility,/metric ton,Air Pollution_NOx_N/A for NOx_Visibility,1.84
Angola,VOC,N/A for VOC,Secondary Health,/metric ton,Air Pollution_VOC_N/A for VOC_Secondary Health,113.51
Angola,VOC,N/A for VOC,Visibility,/metric ton,Air Pollution_VOC_N/A for VOC_Visibility,0.91
Angola,VOC,N/A for VOC,Agriculture,/metric ton,Air Pollution_VOC_N/A for VOC_Agriculture,2.06
Antigua and Barbuda,PM2.5,Urban,Primary Health,/metric ton,Air Pollution_PM2.5_Urban_Primary Health,"7,342.59"
Antigua and Barbuda,PM2.5,Peri-Urban,Primary Health,/metric ton,Air Pollution_PM2.5_Peri-Urban_Primary Health,"6,817.78"
Antigua and Barbuda,PM2.5,Rural,Primary Health,/metric ton,Air Pollution_PM2.5_Rural_Primary Health,"3,608.37"
Antigua and Barbuda,PM2.5,Transport,Primary Health,/metric ton,Air Pollution_PM2.5_Transport_Primary Health,"6,557.12"
Antigua and Barbuda,PM2.5,N/A for PM2.5,Visibility,/metric ton,Air Pollution_PM2.5_N/A for PM2.5_Visibility,10.79
Antigua and Barbuda,SOx,Urban,Primary Health,/metric ton,Air Pollution_SOx_Urban_Primary Health,"2,454.23"
Antigua and Barbuda,SOx,Peri-Urban,Primary Health,/metric ton,Air Pollution_SOx_Peri-Urban_Primary Health,"2,330.79"
Antigua and Barbuda,SOx,Rural,Primary Health,/metric ton,Air Pollution_SOx_Rural_Primary Health,"1,333.55"
Antigua and Barbuda,SOx,Transport,Primary Health,/metric ton,Air Pollution_SOx_Transport_Primary Health,"2,222.59"
Antigua and Barbuda,SOx,N/A for SOx,Visibility,/metric ton,Air Pollution_SOx_N/A for SOx_Visibility,43.17
Antigua and Barbuda,NH3,Urban,Primary Health,/metric ton,Air Pollution_NH3_Urban_Primary Health,"2,202.78"
Antigua and Barbuda,NH3,Peri-Urban,Primary Health,/metric ton,Air Pollution_NH3_Peri-Urban_Primary Health,"2,045.33"
Antigua and Barbuda,NH3,Rural,Primary Health,/metric ton,Air Pollution_NH3_Rural_Primary Health,"1,082.51"
Antigua and Barbuda,NH3,Transport,Primary Health,/metric ton,Air Pollution_NH3_Transport_Primary Health,"1,967.14"
Antigua and Barbuda,NH3,N/A for NH3,Visibility,/metric ton,Air Pollution_NH3_N/A for NH3_Visibility,19.94
Antigua and Barbuda,PM10,Urban,Primary Health,/metric ton,Air Pollution_PM10_Urban_Primary Health,39.21
Antigua and Barbuda,PM10,Peri-Urban,Primary Health,/metric ton,Air Pollution_PM10_Peri-Urban_Primary Health,38.88
Antigua and Barbuda,PM10,Rural,Primary Health,/metric ton,Air Pollution_PM10_Rural_Primary Health,25.88
Antigua and Barbuda,PM10,Transport,Primary Health,/metric ton,Air Pollution_PM10_Transport_Primary Health,37.78
Antigua and Barbuda,PM10,N/A for PM10,Visibility,/metric ton,Air Pollution_PM10_N/A for PM10_Visibility,35.90
Antigua and Barbuda,NOx,Urban,Primary Health,/metric ton,Air Pollution_NOx_Urban_Primary Health,"1,008.51"
Antigua and Barbuda,NOx,Peri-Urban,Primary Health,/metric ton,Air Pollution_NOx_Peri-Urban_Primary Health,960.12
Antigua and Barbuda,NOx,Rural,Primary Health,/metric ton,Air Pollution_NOx_Rural_Primary Health,705.78
Antigua and Barbuda,NOx,Transport,Primary Health,/metric ton,Air Pollution_NOx_Transport_Primary Health,628.73
Antigua and Barbuda,NOx,N/A for NOx,Agriculture,/metric ton,Air Pollution_NOx_N/A for NOx_Agriculture,14.39
Antigua and Barbuda,NOx,N/A for NOx,Visibility,/metric ton,Air Pollution_NOx_N/A for NOx_Visibility,2.07
Antigua and Barbuda,VOC,N/A for VOC,Secondary Health,/metric ton,Air Pollution_VOC_N/A for VOC_Secondary Health,119.78
Antigua and Barbuda,VOC,N/A for VOC,Visibility,/metric ton,Air Pollution_VOC_N/A for VOC_Visibility,4.37
